dealer_slug,dealer_name,current_studio_id,tenant_pincode,db_rto_code,db_area_token,db_taluka,db_district,showroom_address,showroom_pincode,internet_phone,internet_email,internet_map_coords,hours,source_url,source_type,source_date,confidence,conflicts_flags
aher,Aher Automotive,A42-HAH-13E,421301,MH05,K,Kalyan,Thane,"Sadanand Sankool, Murbad Road, Kalyan West (WAREHOUSE only – no SHOWROOM row)",421301,9820760596 (tenant),,19.2437|73.1355,,https://inrdeals.com/dealer/hero-bike/maharashtra/hero-showroom-in-thane/ms-aher-auto-p-ltd-438608,AGGREGATOR,2026-03-19,LOW,No SHOWROOM location row in DB – only WAREHOUSE. Hero brand listing (legacy era) confirms Thane area. No official Honda dealer page found.
arni-tvs,Arni TVS,T40-VAR-12N,401202,MH48,B (Bassein),Bassein,Thane,"Shree Prastha, Vasai, Nalasopara West (SHOWROOM – pincode 401203)",401203,9820760596 (tenant),,19.4167|72.7984,,"https://arnitvs.com/ (TLS error – content not fetchable)",OFFICIAL_SITE,2026-03-19,MEDIUM,"Tenant pincode=401202 (Bassein Road / Vasai area, area token B). SHOWROOM row pincode=401203 (Gass B.O / Vasai, area token G). Studio seed report said 401203→N (Nallasopara) – but loc_pincodes for 401203 shows area=Gass B.o (not Nalasopara). CONFLICT: tenant pincode vs showroom pincode. Arni official site lists Nalasopara West address. Business must choose primary pincode."
autorace,TVS Autorace,T40-VAU-01T,400104,MH47,B (Bangur Nagar),Goregaon West,Mumbai Suburban,"SN 9, GR FLR, Goregaon Samruddhi CHS, Sidharth Nagar, Near Goregaon Police Station, Goregaon West, Mumbai",400104,,(no phone found on OEM page),,,"https://dealers.tvsmotor.com/tvs-motors/tvs-autorace-automotive-llp-two-wheeler-dealer-showroom-goregaon-west-mumbai-133973/Home/HI",OEM_OFFICIAL,2026-03-19,HIGH,"No SHOWROOM in id_locations – only WAREHOUSE at Malad West (400064). OEM page confirms Goregaon West address for main showroom. Second OEM listing for Malad West branch exists: https://dealers.tvsmotor.com/tvs-motors/tvs-autorace-automotive-llp-two-wheeler-dealer-malad-west-mumbai-133972/Home"
automiles-hero,Automiles Hero,H40-EAU-00T,400064,MH47,L (Liberty Garden),Malad West,Mumbai Suburban,"Shop No. 1, Radha Krishna Building, Rani Sati Marg, Near W.E. Highway, Malad East, Mumbai (SHOWROOM row – pincode 400097)",400097,9289922883 (OEM Hero page),,19.1868|72.8562,,"https://dealers.heromotocorp.com/automiles-hero-motocorp-two-wheeler-dealer-malad-east-mumbai-22206/Home",OEM_OFFICIAL,2026-03-19,HIGH,"Tenant pincode=400064 (Malad West, MH47, area L). SHOWROOM row pincode=400097 (Malad East – not in loc_pincodes query; likely MH47). OEM page confirms Malad East. Business must confirm which pincode is authoritative for studio code."
dream-suzuki,Dream Suzuki,S40-UDR-00E,400058,MH02,A (Andheri RS),Mumbai,Mumbai Suburban,"332, Swami Vivekananda Rd, near Amboli, Fish Market Area, Navneeth Colony, Andheri West, Mumbai 400058",400058,7669267821,mumbai.dreambikes.ceo@suzukidealers.in,19.125637|72.8471476,,"https://www.suzukimotorcycleandheriwest.com/",OFFICIAL_SITE,2026-03-19,HIGH,"SHOWROOM row pincode=400060 (Jogeshwari East, MH02) but official site address and tenant pincode=400058 (Andheri Station, MH02). Both are MH02 so RTO unchanged. Area token discrepancy: 400060→J (Jog) vs 400058→A (Andheri). Business to confirm correct address pincode."
myscooty,Myscooty,M40-YMY-12S,401209,MH48,N (Nallosapare E),Vasai,Palghar,"Santosh Bhavan, Wailvpada (SHOWROOM – 401209)",401209,,,,,"No official source found",NONE,2026-03-19,LOW,No official OEM or dealership website found. Only showroom row in DB. Contact phone empty.
sahil-yamaha,Sahil Yamaha,Y40-ASA-15H,401501,MH48,A (Akkarpatti),Dahanu,Palghar,"Sahil Arcade, Boisar 401501",401501,09272888123|08421177448,sahilyamaha@gmail.com,,,"https://www.bharatibiz.com/en/sahil-yamaha_1m-092728-88123",AGGREGATOR,2026-03-19,LOW,No official Yamaha dealer page found. Aggregator lists Boisar address matching DB pincode 401501. Tenant location field says Boisar.
aapli,Studio 48C,S40-TAA-12P,401203,MH48,G (Gass B.o),Vasai,Palghar,"Shop No. 18/19/20, Panbai Nagar, Nallasopara West (HEAD_OFFICE – is_active=false)",401203,,,,,"No official source found",NONE,2026-03-19,LOW,"HEAD_OFFICE location is_active=false. Only WAREHOUSE row active (address placeholder). Primary brand: APRILIA. Nallasopara West address aligns with loc_pincodes 401203 (Gass B.o fallback), seed said area N (Nallasopara) – but loc_pincodes area for 401203 is Gass B.o."
suryodaya-bajaj,Suryodaya Bajaj,B40-ASU-12R,401202,MH48,B (Bassein),Bassein,Thane,"SHOWROOM row pincode=401208 (Vasai East, Gokhiware B.O, MH48)",401208,,,,,"https://www.bikedekho.com/hi/showrooms/bajaj/mumbai/suryoday-bajaj-vasai-east-50063208",AGGREGATOR,2026-03-19,LOW,"Tenant pincode=401202 (Bassein/Vasai West) but SHOWROOM row=401208 (Vasai East). BikeDekho lists Vasai East. Both MH48 but area token differs: 401202→B vs 401208→G (Gokhiware). CONFLICT: business to confirm correct location."
udan,Udan,U40-DUD-10A,401028,MH48 (expected),,,,,"WAREHOUSE at Ambadi Road, Vasai West (401202). Official site address: Johnson Motor Compound, Fatherwadi, Golani Naka, Vasai East, Palghar 401208",401208,08071963154,mumbai.udanautomotive.sales@suzukidealers.in,19.4021268|72.8480862,,"https://www.suzukimotorcyclevasaieast.com/",OFFICIAL_SITE,2026-03-19,HIGH,"CRITICAL: Tenant pincode=401028 has NO match in loc_pincodes (rto_code=null). Official site + Google Maps confirms 401208 (Vasai East, MH48, area Gokhiware). WAREHOUSE row pincode=401202. Three different pincodes across tenant/warehouse/official site. Recommend correcting tenant pincode to 401208."
