type,english,devanagari
brand,APRILIA,
brand,ARIHANT,
brand,ATHER,
brand,BAJAJ,
brand,CHETAK,
brand,HERO,
brand,HONDA,
brand,KTM,
brand,RAI TECH,
brand,STUDDS,
brand,SUZUKI,
brand,TVS,
brand,VESPA,
brand,VIDA,
brand,YAMAHA,
model,Activa,
model,Full Face,
model,Jupiter,
model,Jupiter 125,
model,Leg Guard,
model,Splendor +,
model,Standard,
variant,125 Million Edition,
variant,Activa,
variant,Deluxe,
variant,Disc,
variant,Drum,
variant,Drum - Alloy,
variant,Drum Alloy,
variant,I3s,
variant,Jupiter,
variant,Jupiter 125,
variant,Smart,
variant,Smartxonnect,
variant,Smartxonnect Disc,
variant,Smartxonnect Drum,
variant,Smartxonnect Duel Tone,
variant,Special Edition,
variant,Special Editions,
variant,Standard,
color,Activa Silver,
color,BLACK HEAVY GREY,
color,BLACK RED PURPLE,
color,BLUE BLACK,
color,DAWN BLUE MATTE,
color,DAWN ORANGE,
color,DECENT BLUE METALLIC,
color,ELEGANT RED,
color,ELITE GREEN,
color,FORCE SILVER,
color,GALACTIC COPPER MATTE,
color,INDIBLUE,
color,IVORY BROWN,
color,IVORY GREY,
color,Jupiter 125 Silver,
color,Jupiter Silver,
color,LUNAR WHITE GLOSS,
color,MAT AXIS GRAY METALLIC,
color,MATTE COPPER BRONZE,
color,METEOR RED GLOSS,
color,PEARL IGNEOUS BLACK,
color,PEARL PRECIOUS WHITE,
color,PEARL SIREN BLUE,
color,REBEL RED METALLIC,
color,SPARKLING BLACK,
color,SPORTS RED BLACK,
color,STARDUST BLACK,
color,STARLIGHT BLUE GLOSS,
color,TITANIUM GREY,
color,TITANIUM GREY MATTE,
color,TWILIGHT PURPLE GLOSS,
color,WHITE,
